species,F.cm.maxSVL/CL,M.cm.maxSVL/CL,dataset,Notes for exception
Cyclemys_fusca,26.9,22.5,"Iverson, unpubl. data",
Cyclemys_gemeli,23.2,19,Praschag et al. 2009b; Baruah et al. 2012,
Cyclemys_oldhamii,26,24.1,Fritz et al. 2008b; Seateun et al. 2019,
Cyclemys_pulchristriata,22.7,17.5,Fritz et al. 2008b,
Geoemyda_japonica,17,15.1,"Vetter and van Dijk 2006; Itescu et al. 2014; Ota, unpubl. data",
Geoemyda_spengleri,12.8,10.9,"Fan 1931; Pham et al. 2018, unpubl. Data",
Heosemys_annandalii,42,47.23,Cox et al. 1998; Platt et al. 2008; Ceballos et al. 2013,
Heosemys_depressa,25.9,28.3,Platt et al. 2010; Ceballos et al. 2013,
Heosemys_grandis,34.6,48,Bonin et al. 2006; Iverson and McCord 2006; Le 2007,
Heosemys_spinosa,20.1,27.5,Goetz 2007,
Leucocephalon_yuwonoi,22.5,26.4,Ives et al. 2008; Hagen et al. 2009 CBFTT,
Mauremys_annamensis,28.5,21,McCormack et al. 2014 CBFTT,
Mauremys_caspica,25,23,Fritz and Wischuf 1997; Yazarloo et al. 2017,
Mauremys_japonica,19.89,16.205,Iverson and McCord 1994; Ceballos et al. 2013; Itescu et al. 2014,
Mauremys_leprosa,22.25,19.25,Turtle Taxonomy Working Group 2021,
Mauremys_mutica,19.23333333,19.3,Turtle Taxonomy Working Group 2021,
Mauremys_reevesii,23.97333333,18.91666667,"Lovich et al. 2011 CBFTT; Iverson, unpubl. data",
Mauremys_sinensis,26.84666667,19.68333333,McCord and Iverson 1994,
Melanochelys_tricarinata,17.05,19.6,Baruah et al. 2012; Ceballos et al. 2013,
Melanochelys_trijuga,24.1,31.65,Turtle Taxonomy Working Group 2021,
Notochelys_platynota,33,28.35,Brophy and Ernst 2004,
Sacalia_bealei,15.6,14.1,Pope 1935; Iverson and McCord 1992; Lin et al. 2018b,
Sacalia_quadriocellata,14.53333333,13.3,Iverson and McCord 1992; de Bruin and Artner 1999; Ceballos et al. 2013,
Vijayachelys_silvatica,17,13.4,Whitaker and Vijaya 2009; Deepak et al. 2014 CBFTT,
Rhinoclemmys_annulata,21.5,20.2,Ernst 1978; Giraldo et al. 2012,
Rhinoclemmys_areolata,20.65,19.7,Ernst 1980a; Vogt et al. 2009 CBFTT,
Rhinoclemmys_diademata,27.05,18.7,Pritchard and Trebbau 1984; Rivas et al. 2007,
Rhinoclemmys_funerea,31.85,32.5,"Ernst 1980b; Acuña-Mesén and Moll, unpubl. data",
Rhinoclemmys_melanosterna,29.7,26.2,"Páez and Block, unpubl. data",
Rhinoclemmys_nasuta,22.4,19.6,Carr and Giraldo 2009 CBFTT,
Rhinoclemmys_pulcherrima,22.75,19.1,Turtle Taxonomy Working Group 2021,
Manouria_emys,58,60,Turtle Taxonomy Working Group 2021,
Manouria_impressa,33.05,28.6,Chan-ard et al. 1996; Mital et al. 2020,
Gopherus_agassizii,31.1,31.45,Berry and Murphy 2019 CBFTT,
Gopherus_berlandieri,18.552,20.7865,Rose and Judd 2014,
Gopherus_evgoodei,26.1,25.5,"Karl, unpubl. data",
Gopherus_flavomarginatus,38.03,33.725,"Legler and Vogt 2013; McCoy et al. 2014; Wiese and Hillard, Turner Endangered Species Fund, unpubl. data",
