Table 1
Citation,source,,,,,
2104,Agha 2015. A long-term investigation of the federally threatened desert tortoise (Gopherus agassizii) at a wind energy facility in Southern California. MSc thesis.,,,,,
2105,"Karl 1980. Ecology of a population of desert tortoises, Gopherus agassizii, in Ward Valley, California. Report",,,,,
2106,"Burge 1980. Study of the desert tortoise, Gopherus agassizi, at the Goffs Plot: spring, 1980. Report",,,,,
2107,Berry 1976. Desert Tortoise Council Symposium,,,,,
2108,Burge & Bradley 1976. Desert Tortoise Council Symposium,,,,,
2111,Barrow 1979. Desert Tortoise Council Symposium,,,,,
2114,Berry 1980. Desert Tortoise Council Symposium,,,,,
2115,Sheppard 1981. Desert Tortoise Council Symposium,,,,,
2116,Berry 1981. Desert Tortoise Council Symposium,,,,,
2118,Medica et al. 1982. Desert Tortoise Council Symposium,,,,,
2121,"Coombs 1977. Wildlife observations of the hot desert region Washington County, Utah, with emphasis on reptilian species and their habitat in relation to livestock grazing. Report",,,,,
2122,Turner et al. 1984. Desert Tortoise Council Symposium,,,,,
2123,Esque & Duncan 1985. Desert Tortoise Council Symposium,,,,,
2125,Berry et al. 1990b. Desert Tortoise Council Symposium 1986,,,,,
2127,"Karl 1979. An ecological study of a population of desert tortoises, Gopherus agassizii, in Southern Nevada. Report",,,,,
2129,Hardenbrook 1994. Desert Tortoise Council Symposium 1987-1991,,,,,
2130,Knowles et al. 1994. Desert Tortoise Council Symposium 1987-1991,,,,,
2131,Hart 1996. Desert Tortoise Council Symposium 1993,,,,,
2133,McLuckie et al. 2000. Desert Tortoise Council Symposium 1999,,,,,
2136,"Diemer 1992. Journal of Herpetology 26, 281-289",,,,,
2137,"Smith 1995. Bulletin of the Florida Museum of Natural History, 37, 97-126.",,,,,
2138,"Siegel et al. 2003. Journal of Herpetology 37, 137-144",,,,,
2140,Witz et al. 1992. Florida Scientist 55: 14-19.,,,,,
2141,"Rostal & Jones 2002. Chelonian Conservation and Biology, 4(2), 479-487.",,,,,
2146,Tuberville et al. 2014. Journal of Wildlife Management 78(7):1151–1160,,,,,
2147,Ennen et al. 2011. Herpetological Conservation and Biology 6(2):202–214.,,,,,
2149,"Amatuli 2012. Population structure and nest success of gopher tortoises (Gopherus polyphemus), and vegetative response to prescribed burning in northeast Florida. MSc thesis.",,,,,
2152,"Smith 2012. Demography and reproductive biology of the Gopher Tortoise (Gopherus polyphemus) population at White Oak Plantation, Nassau County, Florida. MSc thesis, University of North Florida",,,,,
2634,"Tanaka & Ota 2002. Amphibia-Reptilia 23, 323-331",,,,,
7273,"Luiselli 2004. Turtle and Tortoise Newsletters 8, 21-24",,,,,
183184,"Goldberg & Robinson 1979. Herpetologica 35, 169-175",,,,,
1053ab,"Endriss et al. 2007. Herpetologica 63, 320–331",,,,,
"116,280","Gracceva et al. 2008. Amphibia-Reptilia 29, 443-448",,,,,
141mort,"Chaloupka & Limpus 1998. Proceedings of the 17th Annual Sea Turtle Symposium, pp. 24-25",,,,,
145mort,Chaloupka & Limpus 2002. Marine Biology 140 267-277,,,,,
2094a,Turner et al. 1984. Copeia 1984(4): 811-820,,,,,
2098new,"Bonach et al. 2011. Série Zoologia, 101(3), 151-155.",,,,,
"81,223","Pilorge 1987. Herpetologica, 43, 345-356",,,,,
extra,"Milton 1987. Aust. J. Zool. 35, 35-41",,,,,
g1,"Ruby & Dunham, 1984. Herpetologica, 40 4 , pp. 425-436",,,,,
g10,"Tinkle 1961. The American Midland Naturalist, 66, 206-234",,,,,
g11,"Baron et al., 2010. Oecologia164  369-378",,,,,
g1217,"Pilgrim et al. 2011. Copeia 2011/4,  553-558",,,,,
g18,"Manjarrez et al. 2007. Southwestern Naturalist, 52, 258-262",,,,,
g2,"Ballinger 1973. Ecology 54, 269-282",,,,,
g20,"Bock et al., 2010. Papeis Avulsos de Zoologia  Sao Paulo , 50, 43-50",,,,,
g30,"Gutsche & Streich, 2009. Journal of Herpetology, 43, 105-113",,,,,
g32,"Wilson et al. 2006. Journal of Zoology, 270, 399-407",,,,,
g35,"Luiselli et al., 1997. Journal of Zoology, 241, 371-380",,,,,
g39,"Cecala et al., 2010. Amphibia-Reptilia, 31, 169-174",,,,,
g4,"Brown et al. 2007. Copeia 2007/3, 656-671",,,,,
g41,"Van Damme et al., 1992. Herpetologica, 48, 220-228",,,,,
g42,"Olson et al., 2015. Herpetologica, 71,  274-279",,,,,
g46,"Hays & Mcbee 2010. Journal of Herpetology, 44, 441-446",,,,,
g48,"Barbault & Mou 1988. Herpetologica 44, 38-47",,,,,
g49,"Fox & McCoy 2000. Oecologia 122, 327–334",,,,,
g5,"Tinkle 1973. Copeia 1973/2, 284-296",,,,,
g51,"Charland, 1989. Canadian Journal of Zoology, 67, 1620-1625",,,,,
g54,"Palmer-Allen et al., 1991. Wildlife Research, 18, 225-231",,,,,
g55,"Georges et al., 2006. Wildlife Research, 33, 475-480",,,,,
g57,"Blouin-Demers & Weatherhead, 2007. Oikos, 116 10   pp. 1759-1767",,,,,
g58,"Converse et al. 2005. Ecological Applications 15, 2171-2179",,,,,
g59,"Doroff & Keith 1990. Copeia 2, 387-399",,,,,
g6,"Tinkle et al. 1993. Ecology 74, 2413-2429",,,,,
g61,"Ernst, 2003. Herpetological Bulletin, 86, 10-10",,,,,
g62,"Parker 1996. Journal of Herpetology, 30/2, 266-268",,,,,
g65,"Tucker et al. 2008. Chelonian Conservation and Biology, 7, 60-69.",,,,,
g66,"Portelinha et al., 2014. Copeia, 4 , 707-715",,,,,
g66,"Weatherhead et al. 2012. Journal of Herpetology 46, 100-103",,,,,
g67,"Pignati et al., 2013. Copeia, 2, 303-311",,,,,
g68,"Miorando et al. 2015. Anais da Academia Brasileria de Ciencias 87, 2067-2079",,,,,
g7,"Parker 1994. Copeia 1994/1, 136-152",,,,,
g71,"Wang et al., 2003. Zoological Studies, 42, 379-385",,,,,
g72,"Burger & Zappalorti, 1988. American Naturalist, 132, 492-505",,,,,
g75,"Gutzke et al., 1985. Copeia, 3, 649-652",,,,,
g77,"Vinegar, 1975. Ecology, 56, 172-182",,,,,
g80,"Langford et al., 2011. Herpetological Conservation and Biology, 6, 400-409",,,,,
g81,"Lu et al., 2009. Journal of Thermal Biology, 34, 138-143",,,,,
g99,"Stanford & King, 2004. Copeia, 3, 465-478",,,,,
m1,"Rootes et al. 1991. Estuaries 14, 489-494",,,,,
m10,"Tucker & Sloan 1997. Chelonian Conservation and Biology 2, 587–592.",,,,,
m11,"Thorbjarnarson 1994. Copeia 1994, 907-919",,,,,
m12,"Tanner et al. 2007. Bull. Chicago Herp. Soc. 42(8), 125-132.",,,,,
m13,"Shine 1978. Herpetologica 34,  73-79",,,,,
m14,"Seigel 1984. In: Seigel, R. A., Hunt, L. E., Knight, J. L., Malaret, L. and Zuschlag, N. L. (eds), Vertebrate ecology and systematics - a tribute to Henry S. Fitch. Mus. Nat. Hist., Univ. of Kansas, pp. 77-87.",,,,,
m15,"Saveliev et al. 2006. Proceedings of the 13th Congress of the Societas Europaea Herpetologica. Vol. 133, p. 137.",,,,,
m16,"Rubio-Rocha et al. 2011. Caldasia 33(1), 91-104",,,,,
m17,Rossman 1996. The garter snakes: evolution and ecology. University of Oklahoma Press.,,,,,
m18,"Rosen 1991. Copeia 1991(4), 897-909",,,,,
m19,"Roosenburg 1991. In: New Perspectives in the Chesapeake System: A Research and Management Partnership. Proceedings of a Conference. CRC Publ (No. 137, pp. 227-234).",,,,,
m2,"Stamps 1995. Herpetological Monographs 9, 75-87",,,,,
m20,"Ramírez-Bautista & Vitt 1997. Herpetologica 53, 423-431",,,,,
m21,"Naulleau 1970. Journal of Herpetology 4, 113-121",,,,,
m22,"Munscher et al. 2015. Herpetology Notes 8, 133-140",,,,,
m23,"McCoy 1967. American Midland Naturalist 77, 138-146",,,,,
m24,"Lindeman 1999. American Midland Naturalist 142(1), 141-151.",,,,,
m25,"Kofron 1990. J. Zool. Lond. 221, 477-488",,,,,
m26,"King 1997. Journal of Herpetology 31, 335-346",,,,,
m27,"Kaddour et al. 2005. Rev. Écol. (Terre Vie) 60, 265-278",,,,,
m28,"Iverson 1988. Transactions of the Kansas Academy of Science 91, 153-157",,,,,
m29,"Hamlett 1952. Copeia 1952, 183–185",,,,,
m3,"Plummer & Mills2015. Herpetological Conservation and Biology 10(2), 688–694.",,,,,
m30,"Goshe et al. Mar Biol (2010) 157, 1725–1740",,,,,
m31,"Gibbons & Coker 1977. Herpetologica 33, 29-33",,,,,
m32,"Ewert et al. 2006. Pages 260–272 in P. A. Meylan, editor. Biology and conservation of Florida turtles. Chelonian Research Monographs No. 3.",,,,,
m33,"Evrard & Canfield 2000. Transactions of the Wisconsin Academy of Sciences, Arts and Letters 88, 49-55.",,,,,
m34,"Cox et al. 1991. Copeia 1991(4), 954-968",,,,,
m35,"Cott 1961. Trans. Zool. Soc. Lond. 29, 211-358",,,,,
m36,"Christiansen & Burken 1979. Herpetologica 35, 261-266",,,,,
m37,"Camposano et al. 2008. Iguana 15, 213-219",,,,,
m38,"Cagle 1952. Copeia 1952, 74-76",,,,,
m39,"Bustard 1968. J. Zool. 154, 113-138.",,,,,
m4,"Stevenson et al. 2009. Herpetological Conservation and Biology 4(1), 30-42",,,,,
m40,"Burgin et al. 1999. Australian Zoologisf 31(1), 161-165",,,,,
m41,"Bell & Pike 2012. Mar. Ecol. Prog. Ser. 446, 275-283",,,,,
m42,"Avens et al. 2015. Mar. Biol. 162, 1749–1767",,,,,
m43,"Allan et al. 2006. Can. J. Zool. 84, 51–57",,,,,
m44,"Larriera et al. 2006. Herpetological Review 37(1), 26-28",,,,,
m45,"Bock et al. 2009. Rev. Biol. Trop. (Int. J. Trop. Biol.) 57(4), 1253-1262",,,,,
m46,"Hutton 1987. J. Anim. Ecol. 56, 25-38",,,,,
m47,"Snover et al. 2012. Mar. Biol. 160, 37-46.",,,,,
m48,"Kaliontzopoulou et al. 2006. In: Mainland and insular lacertid lizards: a mediterranean perspective. Firenze University Press, Firenze, pp. 73-89.",,,,,
m49,"Landers et al. 1982. Bulletin of the Florida State Museum, Biological Sciences 27, 81-110",,,,,
m5,Zúniga-Vega et al. 2008.  Amphibia-Reptilia 29: 127-134,,,,,
m50,"Ballinger et al. 1996. Southwestern Naturalist 41, 179-182",,,,,
m51,"Tinkle 1967. The life and demography of the side blotched lizard, Uta stansburiana. Vol. 132. Museum of Zoology, University of Michigan.",,,,,
m52,"Dreslik 1997. Herpetological Nat. Hist. 5, 135-145.",,,,,
m53,"Yabe 1994. Japanese Journal of Herpetology 15, 131-137.",,,,,
m54,"Galán 1996. Herpetol. J. 6, 87-93.",,,,,
m55,"Pinto, A. C. S. (1999). Dimorfismo sexual e comportamento sexual em Tropidurus torquatus (Squamata, Tropiduridae) no Brasil Central. Unpublished M. Sc. Dissertation, Universidade de Brasília, Brazil.",,,,,
m56,"Mittermeier et al. 2015. Chelonian Research Monographs 5, doi:10.3854/crm.5.087.erythrocephala.v1.2015",,,,,
m6,"Znari et al. 2005. Journal of Arid Environments 62(1), 55-74.",,,,,
m7,"Wilkinson et al. 2016. Copeia, 104(4), 843-852.",,,,,
m8,"Wharton 1966. Copeia 1966(2), 149-161",,,,,
m9,"Verdade & Sarkis 1998. Herpetological Review 29(4), 227-228",,,,,
mod.dec17,"Fleming & Hooker 1975. Ecology 56, 1243-1261",,,,,
mod24,"Hirth 1963. Ecological Monographs 33, 83-113",,,,,
mod5,"Shine et al. 2012. Biological Journal of the Linnean Society 107, 824–832.",,,,,
mod78,"Strijbosch & Creemers 1988. Oecologia 76, 20-26",,,,,
mod9,"Brooks 1967. Ecological Monographs 37, 71-87",,,,,
na1,"Urbach et al. 2013. Evolutionary Ecology 27, 205-220",,,,,
na2,"Gruber & Henle 2008. Oecologia 154, 679-690.",,,,,
na3,"Stebbins et al. 1967. Ecology 48, 839-851",,,,,
na4,"Ballinger & Congdon 1981. Journal of Natural History 15, 213-222",,,,,
na5,"Phillips 1995. Journal of Herpetology 29, 407-416",,,,,
na6,"Masunaga & Ota 2003. Zoological Science 20(4), 461-470.",,,,,
na7,"Mills 2002. Ecology and life history of the brown water snake (Nerodia taxispilota). PhD thesis, University of Georgia",,,,,
new1,"Andrews & Nichols 1990. Oikos 57, 215-221",,,,,
new2018_1,"Ernst 1977. Herpetologica 33, 241-246.",,,,,
new2018_2,"Tutterow et al. 2017. Copeia, 105(2):293-300.",,,,,
new2018_3,"Pittman et al. 2011. Conserv Genet 12, 1589–1601",,,,,
new30,"Diller & Wallace 1984. Herpetologica 40, 182-193",,,,,
new32,"Ruyle 2012. All of your eggs in one basket: conservation of a microendemic endangered species. PhD thesis, University of Georgia",,,,,
new33,"Montgomery et al. 2014. Southwestern Naturalist, 59, 280-285",,,,,
new42,"Alcala & Brown 1967. Copeia 3, 596-604",,,,,
new61,"Weatherhead et al. 1995. Behav Ecol Sociobiol 36, 301 311",,,,,
new62,"Weatherhead et al., 1998. Canadian Journal of Zoology, 76, 2200-2206",,,,,
new79,"Larsen et al. 1993. American Midland Naturalist 129, 336-345",,,,,
new81,"Wiederhecker et al. 2003. Phyllomedusa  Journal of Herpetology, 2, 9-19.",,,,,
new82,"Turner et al. 1974. Reproduction and Survivorship of the Lizard, Uta Stansburiana, and the Effects of Winter Rainfall, Density and Predation on these Processes. U.S. International Biological Program, Desert Biome, Utah State University, Logan, Utah, Reports of 1973 Progress, Volume 3: Process Studies, RM 74-26.",,,,,
new83,"Madsen & Shine 1992. Evolution 46, 1549-1552",,,,,
new84,"Madsen & Shine 1993. Oecologia 94, 488-495",,,,,
new87,"Plummer 1985. Herpetologica 41, 373-381",,,,,
new88,"Plummer 1984. Vertebrate Ecology and Systematics: A Tribute to Henry S. Fitch, University of Kansas Museum of Natural History, Special Publication 10, 105-113.",,,,,
v1,"Andrews & Stamps 1994.  Copeia, 1994/3, 613-622",,,,,
v10,"Macartney & Gregory 1988. Copeia 1988/1, 47-57",,,,,
v11,"Diller & Wallace 2002. HERPETOLOGICAL MONOGRAPHS 16,26-45",,,,,
v12,"Pasachnik et al. 2013. Herpetological Conservation and Biology 8, 191–198",,,,,
v14,"Lauire & Brown 1990. Journal of Animal Ecology 59, 529-544",,,,,
v15,"Dellinger & Hegel 1990. Journal of Herpetology 24, 424-426",,,,,
v16,"Iverson et al. 2006. Biol. Conserv. 132, 300-310",,,,,
v17,"Hyslop et al. 2012. Popul Ecol 54, 145-156",,,,,
v19,"Blouin-Demers et al. 2002. J. Zool. 256, 1-10",,,,,
v2,"Schoener & Schoener 1980. Journal of Animal Ecology 49, 19-53",,,,,
v20,"Turner et al. 1969. Herpetologica 25, 247-257",,,,,
v21,"Henle 1990. Herpetological Monographs 4, 30-60",,,,,
v22,"Berglind 2000. Ecological Bulletins 48, 123-142.",,,,,
v23,"Heulin et al., 1997. Herpetologica, 53, 432-444",,,,,
v24,"Thompson et al. 1988. Herpetologica 44, 86-90",,,,,
v25,"Mertens 1995. Journal of Herpetology 29, 454-456",,,,,
v26,"Madsen 1983. Oikos 40, 277-282.",,,,,
v27,"Zamora 2009. Population ecology and reproductive biology of the diamondback watersnake, Nerodia rhombifer (Serpentes: Colubridae), in Southernmost Texas. MSc thesis, University of Texas-Pan American",,,,,
v28,"Díaz 1993. Can. J. Zool. 71, 1104- 1110",,,,,
v29,"Tinkle & Ballinger 1972. Ecology 53, 570-584",,,,,
v2new,"Schoener & Schoener 1982. Oikos 39,1-16",,,,,
v3,"Vogel, 1984. Copeia, 3, 747 - 757",,,,,
v30,"Jones & Ballinger 1987. Ecology 68,  1828-1838",,,,,
v31,"Turner et al. 1969. Radiation Research 38, 349-356",,,,,
v33,"Prestt 1971. J. Zool. 164, 373-418",,,,,
v7,Burgin et al. 1999. Australian Zoologisf 31(1): 161-165,,,,,
v8,"Dalem 1998. Demography and movement patterns of a population of eastern snake-necked turtles, Chelodina longicollis (Shaw, 1794). MSc thesis, Western Sydney University.",,,,,
v9,"Macartney 1985. The ecology of the Northern Pacific Rattlesnake, Crotalus viridis oreganus, in British Columbia. MSc thesis, University of Victoria",,,,,
