Table 1
Citation,source,,,,,
273,"Murray et al. 2015. Copeia 103, 541–545",,,,,
274,"Espinosa et al. 2012. Gayana 76, 52-58",,,,,
276,"Venegas-Anaya et al. 2015. Journal of Herpetology 49, 349-357",,,,,
277,"Galán, 2004. Animal Biology, 54, 57-75",,,,,
278,"Cherkiss et al. 2011. Estuaries and Coasts 34, 529-535",,,,,
283,"Seigel et al. 2000. American Midland Naturalist, 143, 453-462",,,,,
284,"Mazzotti et al. 2012. Journal of Herpetology 46, 356-362",,,,,
290,"Simoncini et al. 2014. Journal of Zoology 293, 243–251",,,,,
293,"Marques 2013. Estrutura populacional, uso do espaço e ecologia trófica de jacarés-de-papo-amarelo (Caiman latirostris) em paisagem silvicultural. PhD thesis, Universidade de São Paulo.",,,,,
294,"Magnusson et al. 1990. Journal of Herpetology 24, 397-400",,,,,
300,"Webb et al. 1983b. Australian Wildlife Research 10, 607-637",,,,,
301,"Webb et al. 1983c. Australian Wildlife Research 10, 407-420",,,,,
317,"Hutton 1987. J. Zool., Lond. 211, 143-155",,,,,
322,"Bourquin & Leslie 2011. African Journal of Ecology, 50  1–8",,,,,
323,"Calverley & Downs 2014. Herpetologica, 70, 417–425",,,,,
327,"Lang et al. 1989. Amer. Zool., 29, 935-952",,,,,
329,"Pezaro et al. 2016. Evol Ecol, DOI 10.1007 s10682-016-9820-0",,,,,
335,"Elsey & Lang 2014. SOUTHEASTERN NATURALIST 13, 191-199",,,,,
341,"Lance et al. 2000. J. Zool., Lond. 252, 71-78",,,,,
346,"Nichols & Chabrek 1980, American Naturalist 116, 125-137",,,,,
350,"Rhodes & Lang 1995. Proc. Annu. Conf. Southeast. Assoc. Fish and Wildl. Agencies 49, 640-646",,,,,
351,"Rhodes & Lang 1996. Proc. Annu. Conf. Southeast. Assoc. Fish and Wildl. Agencies 50, 521-531",,,,,
354,"Rootes & Chabrek 1992, Wildlife Society Bulletin 20, 140-142",,,,,
359,"Taylor et al. 1991, Journal of Wildlife Management 55, 682-688",,,,,
361,"Woodward et al. 1992. Experimental alligator harvest. Final report, Study No. 7567, Florida  Bureau of Wildlife Research, Florida Game and Fish Commision.",,,,,
