population.ID,taxon,species,sex.determination,sex.det.source,birth.sex.ratio,juvenile.sex.ratio,adult.sex.ratio,matur.male,matur.female,mortality.male,mortality.female,N.babies,N.juveniles,N.adults,reference.ID
20,crocs,Alligator_mississippiensis,TSD,species.in.TreeOfSex,,0.688,0.490,,,,,,1834,3372,359
19,crocs,Alligator_mississippiensis,TSD,species.in.TreeOfSex,,0.607,0.472,,,,,,1700,123,361
21,crocs,Alligator_mississippiensis,TSD,species.in.TreeOfSex,0.281,0.598,0.684,6.0,8.0,,,6225,1571,57,"346, m1"
24,crocs,Alligator_mississippiensis,TSD,species.in.TreeOfSex,0.252,,,,,,,,,,"350, 351"
23,crocs,Alligator_mississippiensis,TSD,species.in.TreeOfSex,,0.638,,10.0,13.0,,,,4151,,"354, m1"
25,crocs,Alligator_mississippiensis,TSD,species.in.TreeOfSex,,,,11.6,15.8,,,,,,m7
26,lizards,Amblyrhynchus_cristatus,GSD,genus.or.family.in.TreeOfSex,0.488,,0.506,7.0,4.0,0.210,0.166,1042,,917,"v14, v15"
27,lizards,Ameiva_erythrocephala,GSD,genus.or.family.in.TreeOfSex,,,0.278,,,,,,,18,6
28,lizards,Ameiva_quadrilineata,GSD,genus.or.family.in.TreeOfSex,,,0.417,0.3,0.1,,,,,863,341g
30,lizards,Amphibolurus_muricatus,TSD,species.in.TreeOfSex,0.591,,,,,,,22,,,1020
29,lizards,Amphibolurus_muricatus,TSD,species.in.TreeOfSex,,,0.565,,,,,,,23,1053
32,lizards,Anolis_angusticeps,GSD,genus.or.family.in.TreeOfSex,,,0.463,,,0.545,0.500,,,23,"v2, v2new"
31,lizards,Anolis_angusticeps,GSD,genus.or.family.in.TreeOfSex,,,0.444,,,0.750,1.000,,,10,"v2, v2new"
33,lizards,Anolis_carolinensis,GSD,species.in.TreeOfSex,,,0.474,,,,,,,274,9
34,lizards,Anolis_carolinensis,GSD,genus.or.family.in.TreeOfSex,,,,2.0,1.0,,,,,,m29
35,lizards,Anolis_cupreus,GSD,genus.or.family.in.TreeOfSex,,,0.435,1.0,1.0,0.959,0.958,,,168,mod.dec17
36,lizards,Anolis_cybotes,GSD,genus.or.family.in.TreeOfSex,,,0.400,,,,,,,45,14
37,lizards,Anolis_distichus,GSD,species.in.TreeOfSex,,,0.571,,,0.667,0.833,,,12,"v2, v2new"
38,lizards,Anolis_distichus,GSD,species.in.TreeOfSex,,,0.545,,,0.821,0.810,,,49,"v2, v2new"
39,lizards,Anolis_equestris,GSD,genus.or.family.in.TreeOfSex,,,0.565,,,,,,,62,18
40,lizards,Anolis_equestris,GSD,genus.or.family.in.TreeOfSex,,,,1.0,0.7,,,,,,m37
41,lizards,Anolis_garmani,GSD,genus.or.family.in.TreeOfSex,,,0.445,0.2,0.5,,,,,1174,20
42,lizards,Anolis_limifrons,GSD,genus.or.family.in.TreeOfSex,,,0.559,0.3,0.3,0.952,0.965,,,383,new1
43,lizards,Anolis_limifrons,GSD,genus.or.family.in.TreeOfSex,,,0.522,,,,,,,634,v1
44,lizards,Anolis_limifrons,GSD,genus.or.family.in.TreeOfSex,,,0.418,,,,,,,349,v1
45,lizards,Anolis_limifrons,GSD,genus.or.family.in.TreeOfSex,,,0.469,,,,,,,439,v1
46,lizards,Anolis_limifrons,GSD,genus.or.family.in.TreeOfSex,,,0.526,,,,,,,291,v1
47,lizards,Anolis_limifrons,GSD,genus.or.family.in.TreeOfSex,,,0.543,,,,,,,278,v1
48,lizards,Anolis_lineatopus,GSD,genus.or.family.in.TreeOfSex,0.500,0.499,,,,,,56,,,v3
49,lizards,Anolis_mariarum,GSD,genus.or.family.in.TreeOfSex,,,0.720,,,0.788,0.870,,,100,g20
50,lizards,Anolis_mariarum,GSD,genus.or.family.in.TreeOfSex,,,0.576,,,0.808,0.882,,,99,g20
51,lizards,Anolis_mariarum,GSD,genus.or.family.in.TreeOfSex,,,,0.2,0.3,,,,,,"m16, m45"
52,lizards,Anolis_nebulosus,GSD,species.in.TreeOfSex,,,0.495,,,,,,,297,27
53,lizards,Anolis_nebulosus,GSD,species.in.TreeOfSex,,,,0.6,0.8,,,,,,m20
54,lizards,Anolis_sagrei,GSD,genus.or.family.in.TreeOfSex,0.520,,,,,,,527,,,na1
55,lizards,Anolis_sagrei,GSD,genus.or.family.in.TreeOfSex,,,0.475,,,0.750,0.727,,,19,"v2, v2new"
56,lizards,Anolis_sagrei,GSD,genus.or.family.in.TreeOfSex,,,0.433,,,0.705,0.627,,,144,"v2, v2new"
57,lizards,Anolis_sagrei,GSD,genus.or.family.in.TreeOfSex,,,0.410,0.7,0.6,0.944,0.920,,,141,"v2, v2new, m2"
58,lizards,Anolis_schwartzi,GSD,genus.or.family.in.TreeOfSex,,,0.398,,,,,,,211,34
59,turtles,Apalone_spinifera,GSD,Badenhorst_et_al._2013._Chromosome_Research,,,0.641,,,,,,,43,139
61,turtles,Apalone_spinifera,GSD,Badenhorst_et_al._2013._Chromosome_Research,,,0.576,,,,,,,33,481
63,turtles,Apalone_spinifera,GSD,Badenhorst_et_al._2013._Chromosome_Research,,,0.670,,,,,,,327,547
62,turtles,Apalone_spinifera,GSD,Badenhorst_et_al._2013._Chromosome_Research,,,0.598,,,,,,,107,556
60,turtles,Apalone_spinifera,GSD,Badenhorst_et_al._2013._Chromosome_Research,,,0.667,4.5,12.5,0.655,0.625,,,,"37, m3"
64,lizards,Basiliscus_vittatus,GSD,genus.or.family.in.TreeOfSex,,0.491,0.374,0.4,0.4,,,,747,305,mod24
65,snakes,Boa_constrictor,GSD,genus.or.family.in.TreeOfSex,,,0.528,,,,,,,106,207
66,crocs,Caiman_crocodilus,TSD,species.in.TreeOfSex,,0.684,0.618,,,,,,38,34,254
67,crocs,Caiman_crocodilus,TSD,species.in.TreeOfSex,,,,7.0,7.0,,,,,,m11
68,crocs,Caiman_latirostris,TSD,species.in.TreeOfSex,0.286,,,,,,,1284,,,290
69,crocs,Caiman_latirostris,TSD,species.in.TreeOfSex,,0.750,0.500,,,,,,28,8,293
70,crocs,Caiman_latirostris,TSD,species.in.TreeOfSex,,,,10.0,9.0,,,,,,"m9, m44"
71,crocs,Caiman_yacare,TSD,Mitchell_et_al._2006._Frontiers_in_Zoology,0.376,,,,,,,,,,239
81,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,,0.326,,,,,,,89,,39
80,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,,0.333,0.129,,,,,,18,31,40
79,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,,0.333,,,,,,,207,,146
74,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,0.335,,,,,,,510,,,387
87,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,0.607,,,,,,,28,,,389
72,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,0.638,,,,,,,,,,390
76,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,,,0.455,,,,,,,176,392
83,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,0.184,,,,,,,,,,395
84,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,,,0.640,,,,,,,72,399
86,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,0.230,,,,,,,421,,,400
82,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,,,0.485,,,,,,,97,409
85,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,,,0.600,,,,,,,45,409
77,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,0.510,,,,,,,100,,,413
78,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,0.389,,,,,,,90,,,413
73,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,,0.750,0.713,,,0.125,0.125,,184,87,145mort
75,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,0.052,0.318,0.538,,,,,57984,22,586,"402, 388, 391"
88,turtles,Caretta_caretta,TSD,species.in.TreeOfSex,,,,33.3,30.4,,,,,,m42
89,turtles,Carettochelys_insculpta,TSD,species.in.TreeOfSex,0.273,,,,,,,44,,,377
90,turtles,Carettochelys_insculpta,TSD,species.in.TreeOfSex,0.500,,,,,,,46,,,378
92,turtles,Carettochelys_insculpta,TSD,species.in.TreeOfSex,,,0.542,,,,,,,24,379
91,turtles,Carettochelys_insculpta,TSD,species.in.TreeOfSex,0.307,,,,,,,202,,,380
93,snakes,Cerberus_schneiderii,GSD,genus.or.family.in.TreeOfSex,,,0.510,,,,,,,914,209
95,turtles,Chelodina_longicollis,GSD,species.in.TreeOfSex,0.525,,,,,,,59,,,g54
96,turtles,Chelodina_longicollis,GSD,species.in.TreeOfSex,,,,7.0,10.5,,,,,,m40
94,turtles,Chelodina_longicollis,GSD,species.in.TreeOfSex,,,0.570,,,,,,,500,v8
98,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,,0.371,,,,,,,342,,143
109,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,,0.364,,,,,,,66,,153
110,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,,0.290,,,,,,,434,,153
106,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,0.212,,,,,,,,,,395
105,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,0.560,,,,,,,,,,417
101,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,,,0.529,,,,,,,242,428
108,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,,0.300,,,,,,,75,,429
107,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,,0.200,,,,,,,75,,430
97,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,,0.305,,,,,,,128,,431
100,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,,0.370,0.362,,,,,,738,620,432
102,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,0.260,,,,,,,96,,,437
104,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,0.104,,,,,,,146,,,439
99,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,,,0.604,,,,,,,235,141mort
103,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,0.334,,,,,,,769,,,"418, 421"
111,turtles,Chelonia_mydas,TSD,species.in.TreeOfSex,,,,40.4,43.5,,,,,,m30
116,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,0.529,,,,,,,34,42
119,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,0.578,,,,,,,230,43
115,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,0.636,,,,,,,22,206
120,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,0.854,,,,,,,41,476
121,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,0.662,,,,,,,71,477
125,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,0.423,,,,,,,52,477
122,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,0.583,,,0.056,0.056,,,571,479
128,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,0.730,,,,,,,359,,,484
126,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,0.500,,,,,,,,,,486
117,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,0.484,,,0.030,0.020,,,91,493
113,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,0.477,,,,,,,86,494
112,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,0.464,,,0.060,0.070,,,166,500
124,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,0.691,,,,,,,152,547
118,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,0.643,,,,,,,,548
123,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,0.851,,,,,,,87,556
114,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,0.810,,,,,,,126,559
127,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,0.154,,,,,,,280,,,"482, 483"
129,turtles,Chelydra_serpentina,TSD,species.in.TreeOfSex,,,,4.5,7.5,,,,,,m36
130,lizards,Chlamydosaurus_kingii,TSD,species.in.TreeOfSex,,,0.634,1.3,1.9,,,,,215,1021
131,lizards,Christinus_marmoratus,GSD,species.in.TreeOfSex,,,0.540,,,,,,,137,1037
132,lizards,Christinus_marmoratus,GSD,species.in.TreeOfSex,,,0.506,,,,,,,83,1037
